Wavelength_nm,Ceratobatrachus_guntheri_JWS881_field,Mantella_betsileo_JWS882_field,Epipedobates_tricolor_JWS883_field,Boophis_erythrodactylus_JWS884_field,Phrynomantis_microps_JWS885_field,Hemisus_marmoratus_JWS886_field,Kassina_senegalensis_JWS888_field,Hyperolius_fusciventris_JWS889_field,Lepidobatrachus_laevis_JWS890_field,Kaloula_pulchra_JWS891_field,Megophrys_sp_MW11584_field,Adenomera_hylaedactylus_MW9950_field,Boana_calcarata_MW11133_field,Boana_cinerascens_MW11090_field,Boana_diabolica_MW11091_field,Callimedusa_tomopterna_MW11132_field,Chiasmocleis_shudikarensis_MW9969_field,Dendropsophus_leucophyllatus_MW9992_field_1,Dendropsophus_leucophyllatus_MW9992_field_2,Dendropsophus_sp_MW11106_field_1,Dendropsophus_sp_MW11106_field_2,Dendropsophus_sp_MW11106_field_1b,Hyalinobatrachium_cappellei_MW11140_field_2,Hyalinobatrachium_cappellei_MW11140_field_1,Leptodactylus_mystaceus_MW11105_field,Leptodactylus_pentadactylus_MW9968_cornea_field,Leptodactylus_pentadactylus_MW9968_field,Leptodactylus_pentadactylus_MW9998_field,Leptodactylus_rhodomystax_MW11075_field_1,Leptodactylus_rhodomystax_MW11075_field_2,Lithodytes_lineatus_MW11155_field,Osteocephalus_oophagus_MW10000_field,Osteocephalus_taurinus_MW11103_field,Phyllomedusa_vaillantii_MW9985_field,Pristimantis_chiastonotus_MW9949_field,Pristimantis_sp_MW11550_field,Pristimantis_zeuctotylus_MW11112_field,Rhaebo_guttatus_MW11187_cornea_field,Rhaebo_guttatus_MW11187_field,Rhinella_margaritifer_MW11115_field,Rhinella_marina_MW9997_cornea_field,Rhinella_marina_MW9997_field,Scinax_boesmani_MW9993_field,Scinax_sp_MW11111_field,Phyllomedusa_sp_tad_MW11127_field
353.816,32.41732758,57.25473926,50.65567773,-41.30109691,4.026858093,67.74551074,-19.89858914,34.12437119,33.68167149,100.1780509,208.327496,-23.90926418,-131.814754,177.8097569,115.2175561,-66.62807336,141.8424653,-70.34990952,-56.32957781,-78.65197708,78.91641336,-24.95047786,-60.53652903,63.08896239,-21.17634406,17.00879181,-36.2088173,39.91324486,80.5295217,105.2802471,1.195444421,5.776460219,-7.527785815,36.94017995,20.6611048,77.03455224,-227.1703202,127.6565356,49.28171265,-9.207808338,93.3664392,-61.22030783,-17.42710156,95.50794804,7.012168995
354.112,32.09449308,37.62645564,74.18905885,14.68208869,15.57802862,61.85957776,39.30132773,54.73531043,53.65936122,68.03915438,83.4701407,2.656714457,27.47127963,60.33375484,303.5697415,-9.393356916,20.76821641,-19.77513149,-19.48892294,-9.614938425,65.98242813,-12.76103122,-186.7557735,19.8623343,4.244769541,11.22221767,25.31513976,24.19512716,88.39664884,100.2091951,-39.24789489,-16.77264795,22.51785538,20.65763656,0.723996633,15.15772287,41.04195285,298.8957811,68.90598133,31.14861762,123.748813,-0.771853068,13.46073822,39.86105842,-15.16889259
354.407,42.12201346,25.75871576,62.44960167,5.31365943,54.76419041,64.6840085,25.36028318,92.44824523,48.8342747,35.50599536,33.79050565,45.74049071,37.93282553,-14.49928921,104.7527076,-6.255378666,-15.72615215,4.276041922,-4.50965265,59.13595125,59.64228874,15.76018377,-1.814148471,78.68974153,38.78285525,28.74515485,40.64188423,51.5066875,90.67007455,90.82744629,-85.79678996,-165.2374143,32.51680357,-1.102614296,-31.20292212,-15.73759465,1.403881362,-1740.154242,139.9882717,410.0729665,184.5174422,32.04007228,10.15839809,34.23684416,-16.06591507
354.703,21.7958748,-20.65820068,211.1001732,-15.61313715,50.76453471,53.49507008,25.55523607,43.93794459,94.42561879,83.97330126,33.17288799,35.68842523,22.66429417,-74.86849538,102.5225643,-25.790035,15.40594021,6.240129592,-7.82928604,-10.11354945,76.42722723,16.37994303,3040.43129,815.656896,61.79205166,-2.690274029,-40.90766569,31.03632806,134.625501,32.96973927,-89.91274343,-60.20616181,45.62375165,11.42619433,-23.75107386,6.695465053,59.4213004,453.360781,48.0387407,432.5908652,240.2089534,12.83838792,3.235849622,39.68005688,-11.58427671
354.998,32.12321974,-60.86950296,-603.1306298,-84.20596038,71.64119374,12.016367,5.052536111,38.35918329,82.41614828,52.93442358,21.63096222,22.26993811,-5.661970967,-47.73802585,76.38656717,-22.72315604,63.56416129,29.52411735,7.471894999,10.85435743,53.11757459,19.61646416,-97.17706339,-45.06407413,58.17541633,17.08772112,-80.32001881,50.85958822,31.68799149,20.20455866,-50.60202565,-109.5519831,17.40388305,5.72530588,-3.000168343,-16.22878822,86.94161604,138.5668989,0.636757435,176.4059117,157.8585719,46.0506176,-24.1509819,30.0141101,22.38146883
355.294,15.12722491,-29.85403208,-249.2165927,-59.62687442,63.23392299,9.187731939,6.470391393,30.52952735,72.20118631,182.2970789,36.82402362,6.852774956,5.119672981,-32.97405914,151.215307,4.269226356,49.28994322,16.31750546,5.133608454,-14.04221235,18.26189595,-19.55421914,-106.586055,19.43859506,63.75354359,2.14067253,-59.67551028,16.40194536,20.18309712,27.20987947,-26.8039474,-29.98452718,5.728064718,4.508412296,22.91408622,28.65731413,80.44079946,96.41151307,-22.99629732,53.45114255,-19.55420264,124.2355218,-24.59833429,23.25954607,21.21745306
355.589,20.95827488,47.67744034,-49.92756617,-48.94166915,57.13350178,37.91259205,-4.346829431,12.14733905,43.0846781,122.978771,-48.33808683,2.353396879,-1.492450492,-21.22533596,116.7346318,30.01955314,44.04031789,14.79393047,12.76502024,15.48786943,-8.281903434,-18.35349852,53.36193853,86.0589123,37.89312031,83.81306838,-16.50449204,31.10318167,9.690704857,21.28930201,3.416468707,-49.1108937,2.183094247,-1.015796185,25.72218753,3.78095575,0.385001225,72.14036302,-10.90166354,33.75691679,25.19635578,111.2769126,-13.66330786,10.48496083,13.35092157
355.885,-0.770925076,42.93674993,32.67439476,12.4427607,50.53587427,44.46525595,2.321584443,-2.927470397,37.8464505,146.4870571,-29.07589702,24.67093179,-5.672171513,-38.7437905,122.7297857,38.92896064,6.945021271,5.838634208,-20.28042483,25.18952464,7.127290342,-30.03136784,23.23527536,171.2736205,48.07243582,12.98899929,-32.83482411,29.06083403,41.09615851,29.19082978,-17.28079787,-11.67875968,12.10329879,28.48299976,-9.800023768,23.5490577,-10.14912055,68.37793176,24.33586655,86.39903196,54.24205908,107.8766279,-36.00779397,27.25365654,4.9975425
356.180,8.061103719,40.4620511,57.38192588,-6.5781058,51.23024818,15.11086996,7.248892175,-14.99070984,35.06339811,56.48730415,2.194595526,9.93204078,-48.78851041,-51.92989471,71.11388681,36.56088024,-50.39938058,2.220129389,-24.18361769,75.09321756,-8.990400232,-42.28982187,79.97050821,93.8947323,35.76202805,10.15929926,-7.136087626,48.86196495,55.93784211,17.17335995,-7.182434499,-108.4002819,6.765786767,34.29267456,-17.16659886,4.454867593,47.17912151,92.5932421,56.91127873,48.80934378,71.67807493,60.2045528,-7.177051471,19.34594944,-5.80170845
356.476,25.59272097,-1.143551562,-108.7189068,37.42407769,0.205070884,-32.38988668,-3.499396441,-9.290932948,56.38175329,208.0824969,40.95806084,12.69931899,-39.79917267,14.6447273,167.1431415,20.14866959,46.78208993,-0.69597083,-15.43619609,152.1264115,18.56009355,-51.74623298,-42.83957537,73.61746354,33.09047747,-10.17145548,-14.77419823,37.67756166,81.14465279,59.61100402,1.996971804,9.214263938,-12.06662945,30.68801299,-11.81072534,18.88885616,34.56828253,89.97861812,44.61536744,52.77934494,75.93884896,143.8602803,0.622259754,8.409068627,3.809935087
356.771,62.79947414,12.29841009,-80.58723262,-22.73306226,12.2033269,11.23138671,6.102149171,-13.34884849,37.47149914,42.67539432,61.92963493,-0.628089397,-66.21908255,25.29140669,56.35472312,29.28219441,24.84771629,-16.77999036,3.775996722,41.67927705,-9.630151883,-2.9096708,13.08089582,5.008169454,43.54523088,76.20744549,5.997483759,46.05448738,74.61400405,43.72175872,3.401545371,-49.82944125,-2.602139656,6.623233046,-2.718920219,6.977537477,56.70208701,100.9148511,61.09188595,65.42443613,31.30623623,99.6777681,26.9685775,2.996004944,8.246779561
357.067,9.832120182,3.087281846,-153.7263875,2.33807343,43.46707025,30.30423475,13.15502979,-17.45493677,47.8185853,182.3797667,29.63896903,33.72864362,-16.43378215,32.74276667,59.24494948,42.97471663,66.39696703,-12.39427338,6.102240449,25.4325994,42.30359373,-2.082895768,-73.15793474,-9.436552374,23.58133878,7.529625527,-4.063343719,34.91884979,68.13819654,34.68817666,-11.88855645,-26.88964576,-12.23953916,9.114354776,11.11622814,25.12629044,35.57672683,112.1469296,48.56927918,91.14321117,49.02322216,812.3546986,25.21791748,8.644293756,5.099868511
357.362,11.81734832,20.29665805,48.35044335,-38.29876368,51.25177904,36.2238773,28.99430005,4.211722589,21.55826021,56.43481648,41.51180406,29.84932523,-74.72483125,11.50034178,49.71615443,101.4417442,26.20267983,-28.83389716,-1.757542722,-10.66333926,19.03949151,12.76498101,-41.70011398,-9.271185357,36.32699861,30.56367238,-16.01014107,45.35092842,31.27814632,6.961665799,-38.69279221,-38.35432683,13.68432184,-2.38009777,13.15390001,28.38678771,31.66313792,127.2886335,54.91280314,91.26019408,1.295183041,183.7398764,13.8860446,17.96201375,-3.615046723
357.657,10.53055085,6.636358761,48.94294619,0.605579104,31.75813815,47.68403588,26.36910383,58.70219627,31.45728878,71.89050462,-1.401790499,32.21488168,5.343800106,41.43743683,126.6352071,54.78548628,62.51334821,-22.58910072,-5.62117055,-0.833366281,55.88718843,3.930899591,-203.395441,-3.027873423,35.47284047,16.73768262,-32.48984723,41.11789103,10.00575506,33.17184771,-33.28880445,-7.915613171,-32.20989647,9.932776536,21.48418922,56.1937281,22.51372322,114.9966936,47.6840619,105.0391849,77.887989,137.8294892,28.45060668,-3.640364018,5.1882677
357.953,77.20525218,23.51956219,103.3880474,-10.0781448,36.33040381,34.85516029,23.24636577,24.81871317,-2.020565473,22.34885134,78.24854039,15.15399928,7.182947164,28.24337651,52.23316323,10.96878882,19.88237048,-20.80370058,12.6683057,19.44941468,1.901047861,25.72319504,0.979806979,23.01949792,24.27076394,45.81222614,-11.51382322,53.09479759,-26.72398712,47.97325474,-9.754764484,44.41011027,-8.600368193,35.25840381,12.10101134,11.87825378,38.27915431,85.80677167,42.18432507,101.1529506,118.3772067,84.33820284,-4.354132824,-4.681471021,39.42230115
358.248,58.16814526,20.30271903,60.38793665,-12.69424671,24.97714134,67.68853745,25.88029585,16.60339169,17.35472725,37.28129017,-2.048849865,27.80985447,52.71021832,33.68165811,64.04426817,1.844621599,31.99394999,1.3906366,-1.450831852,18.91623395,17.99588649,20.3101255,-21.021817,-17.75019367,18.73666686,36.7026567,-12.51124201,44.8312789,3.404381801,69.41706447,9.391390533,58.29184749,-47.35756422,59.9074354,3.556475072,0.568643164,81.10679984,73.87992199,26.04926812,74.58279434,104.1148732,23.27527852,-1.755732884,-5.904233786,48.12888508
358.543,47.88089957,39.94843574,52.392359,-21.96474136,30.88353564,80.39736295,23.7811851,-17.1043182,-5.179223711,25.98762604,40.68127109,24.9807896,26.10933724,-0.035326044,59.19304436,11.3779889,3.889804252,3.346284721,-6.442309458,13.27302974,5.104297965,24.29063872,47.43563472,2.060329722,9.846181409,14.27850239,-7.404275011,55.51449793,13.36785879,56.29599917,16.95815898,41.67780722,-15.98512413,58.53135254,14.7063135,-0.51249087,60.17333975,65.13917851,32.45035867,17.05038856,93.22516505,36.6898612,-6.579459146,-3.872250171,33.29717328
