Wavelength_nm,Xenopus_sp_X1_X2_X3_lab,Bufo_bufo_BbL1_lab,Rana_temporaria_JWS895-97_lab,Polypedates_leucomystax_F2_lab,Dyscophus_sp_F3_lab,Sclerophrys_sp_F1_lab,Osteopilus_septentrionalis_F4_lab,Leptodactylus_pentadactylus_MW9967_lab,Ceratobatrachus_guentheri_JWS881_lab,Boophis_erythrodactylus_JWS884_lab,Leptodactylus_knudseni_MW9968_lab,Dendropsophus_sp2_MW11111_lab,Boana_diabolica_MW11091_lab,Rhaebo_guttatus_MW11187_lab,Kassina_senegalensis_JWS888_lab,Lithodytes_lineatus_MW9997_MW11155_MW9952-54_lab,Rhinella_margaritifera_MW11115_lab,Callimedusa_tomopterna_MW11132_lab,Pristimantis_zeuctotylus_MW11112_lab,Leptodactylus_rhodomystax_MW11075_lab,Leptodactylus_pentadactylus_MW9998_lab,Leptodactylus_pentadactylus_MW9966_lab,Ceratophrys_cornuta_MW11322_lab,Osteocephalus_taurinus_MW9986-7_MW9999_MW11103_lab,Leptodactylus_pentadactylus_MW9965_lab,Trachycephalus_coriaceus_MW11326_lab,Dendropsophus_leucophyllatus_MW9989-92_lab,Lepidobatrachus_laevis_JWS890_lab,Epipedobates_tricolor_JWS883_lab,Calluella_guttulata_JWS887_lab,Hyperolius_fusciventris_JWS889_lab,Phrynomantis_microps_JWS885_lab,Mantella_betsileo_JWS882_lab,Hemisus_marmoratus_JWS886_lab,Leptodactylus_mystaceus_MW9982_lab,Boana_punctata_MW11268_lab,Hyalinobatrachium_cappellei_MW9957-9_MW11140_lab,Osteocephalus_oophagus_MW10000_lab,Leptodactylus_mystaceus_MW9984_lab,Scinax_nebulosus_MW11266_lab,Leptodactylus_mystaceus_MW9983_lab,Chiasmocleis_hudsoni_MW11335_lab,Eleutherodactylus_johnstonei_MW11542_lab,Dendropsophus_sp_MW11106_lab,Boana_cinerascens_MW11090_lab,Phyllomedusa_vaillantii_MW9985_lab,Leptodactylus_mystaceus_MW11105_lab,Scinax_boesemani_MW9993_lab,Pristimantis_chiastonotus_MW9949_lab,Boana_calcarata_MW11133_lab,Adenomera_sp_MW11574_lab,Pristimantis_sp_MW11550_lab,Spea_bombifrons_MKF969_lab,Leptodactylus_knudseni_MTR41575_lab,Ascaphus_truei_MKF929_MKF920_lab,Leptodactylus_podicipinus_MTR41588_lab,Kaloula_pulchra_MKF926_JWS891-2_lab,Rhinophrynus_dorsalis_MKF967-8_RCB1021_lab,Scaphiopus_couchii_MKF970_RCB1022_lab,Eleutherodactylus_marnockii_MKF923_lab,Heterixalus_alboguttatus_MKF921_lab,Spea_multiplicata_RCB1023_lab,Leptodactylus_podicipinus_MTR41570_lab,Scinax_rizibilis_CFBH44068_lab,Rhinella_icterica_CFBH44065_lab,Boana_bandeirantes_CFBH44064_lab,Ischnocnema_henselii_CFBH44063_lab,Leptodactylus_fuscus_CFBH44062_lab,Brachycephalus_ephippium_CFBH44059_lab,Phyllomedusa_distincta_CFBH44055_lab,Ischnocnema_parva_CFBH44054_lab,Proceratophrys_boiei_CFBH44053_lab,Haddadus_binotatus_CFBH44052_lab,Bokermannohyla_circumdata_CFBH44047_lab,Scinax_hayii_CFBH44046_lab,Itapotihyla_langsdorffii_CFBH44045_lab,Physalaemus_cuvieri_CFBH44041_lab,Boana_pardalis_CFBH44040_lab,Aplastodiscus_leucopygius_CFBH44039_lab,Vitreorana_uranoscopa_CFBH44038_lab,Hylodes_phyllodes_CFBH44032_lab,Hylodes_phyllodes_CFBH44037_lab,Boana_faber_CFBH44036_lab
800,,,100.0444444,99.80232558,100.22,99.715,101.1510417,100.48,,,100.13,100.81,,99.7,100.67,99.715,,,99.285,,,,,,99.55,,99.3375,,,99.3,,,,,100.34,,,100.32,,,,,,,99.595,101.04,,,,,,,99.82666667,100.29,,100.0433333,,,,99.6625,100.4866667,99.91,100.1133333,99.8,100.43,100.3733333,,99.86666667,,100.16,,,,100.04,100.31,,99.664,100.2,99.99,100.0533333,100.0733333,,99.88666667
799,,,99.86,99.98837209,100.11,99.7,100.9010417,100.36,,,99.95,100.76,,99.525,100.47,99.945,,,99.77,,,,,,99.5,,99.1925,,,99.23,,,,,100.485,,,100.29,,,,,,,100.19,100.715,,,,,,,99.85333333,100.1333333,,100.23,,,,100.3775,100.6366667,99.87666667,99.99333333,100,100.1566667,99.78666667,,99.68666667,,99.92,,,,100.06,100.4066667,,99.816,100.1666667,99.90666667,99.86,99.81,,99.66333333
798,,,99.87,99.80232558,100.14,99.96,100.3645833,100.07,100,100,99.915,100.21,100.966577,99.395,100,100.122092,100.0388933,100,99.94,99.6652514,99.77,100.5971763,99.37548464,100.4005,99.61,99.664,99.47425,100.64,,99.42,100.7992,99.3506,101.085,100,100.095,100.1324,99.5617,100.54,99.154,100.1312,99.641,,100.082,101.058,100.58,100.205,100.096,100.372,99.33133333,100.2595481,99.286,99.9104,99.865,99.89333333,100.1945,99.74333333,99.56822222,100.4847667,100.0291667,100.625,100.86,99.94666667,99.68666667,100.48,100.0166667,98.99666667,100,99.76333333,100,99.62,100,99.95566667,100,99.96,100.44,100,99.856,100.3133333,99.63666667,99.79,99.78,100.8176,99.56
797,,,100.0155556,98.81395349,100.06,100.165,100.4895833,99.945,99.80951883,100.0473353,99.855,100.51,101.1492262,99.35,99.88,100.0660746,99.84872904,100.286844,99.725,99.64820432,99.868,100.4404999,99.19252914,100.3065,99.93,99.264,99.4985,101.042,,99.32,101.0444,99.2738,100.804,100.1376767,99.795,100.3448,99.50396731,100.52,99.065,100.0892,99.543,100,99.976,100.700494,100.37,100.035,100.4492243,100.544,99.33133333,100.3680703,99.03893336,99.8012,99.84833333,99.49,100.0180413,99.30333333,99.43696761,100.5974111,100.07,100.18,100.7833333,100.1933333,99.78333333,100.46,100.4766667,99.07666667,100.1240486,100.05,99.95629829,99.68,100.0807755,100.0243333,100.210313,99.93333333,100.37,100.2473325,99.938,100.4933333,99.66333333,99.91666667,99.91666667,100.9428,99.53
796,,,99.95666667,97.79069767,99.94,99.97,100.9375,99.88,99.7252993,100.003802,99.62,101.27,101.2081066,99.18,100.26,100.0383516,99.80092818,100.4893222,99.6,99.61197926,99.928,100.3133608,99.0288856,100.235,99.58,98.932,99.5925,101.334,,99.02,101.2004,99.3098,100.777,100.1285451,99.955,100.5056,99.52545445,99.95,98.97,100.0076,99.435,99.93789169,99.982,100.4018713,100.115,99.93,100.4492243,100.572,99.232,100.5089003,98.75573906,99.5164,99.87166667,98.64,99.92124219,98.93333333,99.3763732,100.7313667,100.1458333,100.4825,100.6233333,100.1233333,99.93,100.52,100.97,99.45333333,100.1843008,99.83666667,99.84759486,99.81,100.0723711,100.0536667,100.3665973,99.99333333,100.3133333,100.4607349,100.39,100.4266667,99.91333333,99.83333333,99.92666667,100.8984,99.57666667
795,,,99.98777778,98.06976744,99.93,99.745,100.765625,99.75,99.47069758,99.99923959,99.84,100.95,101.190082,99.07,100.38,100.0784448,99.771832,100.4830305,99.795,99.63648444,99.836,100.1798006,98.89268539,100.141,99.39,98.816,99.5405,101.478,97.10818182,99.43,101.2744,99.338,100.74,99.93923961,99.83,100.4928,99.50939767,99.71,98.869,99.8492,99.332,100.0606027,100.03,100.4470853,100,100.025,100.3393801,100.58,99.31066667,100.5760952,98.44049602,98.954,99.80166667,98.41,100.0227804,98.68,99.41469761,100.6396111,100.09,100.4425,100.5333333,100.17,99.63333333,100.43,100.6333333,99.26666667,100.2977166,99.73,99.63936905,99.84,99.94397078,99.99966667,100.3441156,100.1466667,100.17,100.5330595,100.388,100.2233333,100.0033333,99.71,99.45,100.9108,99.71333333
794,,,100.0322222,98.90697674,99.68,99.765,100.890625,99.835,99.00851032,100.0450541,99.97,100.94,101.0927492,98.97,100.4,100.0763995,99.77079285,100.4155378,100.17,99.63754989,99.714,100.0873358,98.65382682,100.055,99.74,98.866,99.3565,101.452,96.96181818,99.65,101.3088,99.3232,100.464,99.61857929,99.89,100.6292,99.48306283,99.59,98.671,99.7196,99.338,99.79636002,100.062,100.6111175,99.845,99.955,100.1972289,100.548,99.51933333,100.6038573,98.17769637,98.8248,99.745,98.87333333,100.1312646,98.73333333,99.54692544,100.3874889,100.04,99.9775,100.3633333,100.45,99.36333333,99.97,99.94333333,99.18333333,100.3056912,99.77666667,99.49614494,99.82,99.70117751,99.85233333,100.1693382,100.2266667,99.91666667,100.5794902,99.866,100.21,100.0833333,99.4,98.91,100.9932,99.77333333
793,,,100.0988889,98.60465116,99.67,99.92,101.0885417,99.725,98.71409731,99.98935431,99.645,100.71,100.9581655,98.925,100.22,99.88562273,99.86327713,100.3005714,99.865,99.50756586,99.646,100.0732092,98.44037873,100.04975,99.7,98.93,99.292,101.308,96.92590909,99.68,101.2184,99.3874,100.42,99.37062071,99.77,100.8084,99.59218275,99.8,98.393,99.6288,99.331,99.31229161,100.07,100.6174264,99.645,99.79,99.74923716,100.428,99.67466667,100.6072752,97.92421998,99.0392,99.68333333,99.19,99.89455375,98.70666667,99.70906002,100.3001889,100.1325,99.965,100.1833333,100.29,99.24,99.95,99.93666667,99.48,100.043417,99.77,99.33455877,100.06,99.32204647,99.652,100.0275583,100.0133333,100.0466667,100.5830617,99.826,100.1666667,99.84666667,99.22,98.90333333,100.9484,99.67666667
792,,,100.0911111,98.25581395,99.7,100.005,101.0989583,99.56,98.56066248,99.84221563,99.345,100.49,100.8680425,99.1,99.9,99.74684393,99.91107799,100.122402,99.95,99.39036715,99.448,100.1643898,98.3448353,100.05825,99.64,99.004,99.356,101.132,96.93681818,99.74,101.0892,99.4318,100.401,99.2550706,99.685,100.6356,99.64775758,100.07,98.214,99.4872,99.172,99.23098619,99.912,100.6689493,99.925,99.72,99.19786272,100.434,99.90733333,100.5431508,97.57284927,98.9768,99.49666667,99.31666667,99.65957367,99.03,99.70712361,100.2724778,100.1566667,100.0375,100.1133333,100.1866667,99.22666667,99.84,99.97666667,99.74666667,99.88747021,99.83666667,99.10723641,100.14,98.87988256,99.41833333,99.89810698,99.68666667,100.2233333,100.4848431,100.222,100.1566667,99.58,99.16333333,98.85666667,100.648,99.38666667
791,,,99.90666667,98.97674419,99.74,99.905,101.1197917,99.51,98.58632326,99.69640766,99.285,100.8,100.7875327,98.775,99.94,99.78245452,99.86639457,99.8870355,99.88,99.28915008,99.222,100.3107923,98.27775161,99.958,99.39,99.066,99.21725,100.906,96.78181818,99.73,101.024,99.3792,100.185,99.05663349,99.6,100.4264,99.59478434,99.82,98.235,99.3664,99.033,99.04390843,99.808,100.7099574,100.045,99.745,98.84033085,100.578,100.0733333,100.5943363,97.37298169,99.1132,99.15,99.22,99.68481954,98.61,99.61905161,100.1198444,100.0833333,100.0725,100.1833333,100.0566667,99.43333333,100.01,99.81333333,99.73333333,99.8945587,99.7,99.03488987,99.69,98.57872551,99.202,99.68054182,99.39,100.1933333,100.4143042,100.524,100.4,99.73666667,99.02333333,98.78666667,100.2764,99.34333333
