Specimen,Data,Field_number,Genus_species,Tip_label_Pyron2014,Genus_sub_Pyron2014,phylo_match
Adenomera_hylaedactylus_MW9950_field,field,MW 9950,Adenomera_hylaedactyla,Adenomera_hylaedactyla,,exact
Aplastodiscus_leucopygius_CFBH44039_lab,lab,CFBH 44039,Aplastodiscus_leucopygius,Aplastodiscus_leucopygius,,exact
Ascaphus_truei_MKF920_lab,lab,MKF 0920,Ascaphus_truei,Ascaphus_truei,,exact
Ascaphus_truei_MKF929_lab,lab,MKF 0929,Ascaphus_truei,Ascaphus_truei,,exact
Bokermannohyla_circumdata_CFBH44047_lab,lab,CFBH 44047,Bokermannohyla_circumdata,Bokermannohyla_circumdata,,exact
Brachycephalus_ephippium_CFBH44059_lab,lab,CFBH 44059,Brachycephalus_ephippium,Brachycephalus_ephippium,,exact
Bufo_bufo_BbL1_lab,lab,BbL1,Bufo_bufo,Bufo_bufo,,exact
Rhaebo_guttatus_MW11187_cornea_field,field,MW 11187,Rhaebo_guttatus,Bufo_guttatus,,exact
Rhaebo_guttatus_MW11187_field,field,MW 11187,Rhaebo_guttatus,Bufo_guttatus,,exact
Rhaebo_guttatus_MW11187_lab,lab,MW 11187,Rhaebo_guttatus,Bufo_guttatus,,exact
Rhinella_icterica_CFBH44065_lab,lab,CFBH 44065,Rhinella_icterica,Bufo_ictericus,,exact
Rhinella_margaritifer_MW11115_field,field,MW 11115,Rhinella_margaritifera,Bufo_margaritifer,,exact
Rhinella_margaritifera_MW11115_lab,lab,MW 11115,Rhinella_margaritifera,Bufo_margaritifer,,exact
Rhinella_marina_MW9997_cornea_field,field,MW 9997,Rhinella_marina,Bufo_marinus,,exact
Rhinella_marina_MW9997_field,field,MW 9997,Rhinella_marina,Bufo_marinus,,exact
Calluella_guttulata_JWS887_lab,lab,JWS 887,Glyphoglossus_guttulatus,Calluella_guttulata,,exact
Ceratobatrachus_guentheri_JWS881_lab,lab,JWS 881,Cornufer_guentheri,Ceratobatrachus_guentheri,,exact
Ceratobatrachus_guntheri_JWS881_field,field,JWS 881,Cornufer_guentheri,Ceratobatrachus_guentheri,,exact
Ceratophrys_cornuta_MW11322_lab,lab,MW 11322,Ceratophrys_cornuta,Ceratophrys_cornuta,,exact
Chiasmocleis_hudsoni_MW11335_lab,lab,MW 11335,Chiasmocleis_hudsoni,Chiasmocleis_hudsoni,,exact
Chiasmocleis_hudsoni_MW11336_lab,lab,MW 11336,Chiasmocleis_hudsoni,Chiasmocleis_hudsoni,,exact
Chiasmocleis_shudikarensis_MW9969_field,field,MW 9969,Chiasmocleis_shudikarensis,Chiasmocleis_shudikarensis,,exact
Chiasmocleis_shudikarensis_MW9969_lab,lab,MW 9969,Chiasmocleis_shudikarensis,Chiasmocleis_shudikarensis,,exact
Dendropsophus_leucophyllatus_MW9989_lab,lab,MW 9989,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Dendropsophus_leucophyllatus_MW9990_lab,lab,MW 9990,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Dendropsophus_leucophyllatus_MW9991_lab,lab,MW 9991,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Dendropsophus_leucophyllatus_MW9992_field_1,field,MW 9992,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Dendropsophus_leucophyllatus_MW9992_field_2,field,MW 9992,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Dendropsophus_leucophyllatus_MW9992_lab,lab,MW 9992,Dendropsophus_leucophyllatus,Dendropsophus_leucophyllatus,,exact
Eleutherodactylus_johnstonei_MW11542_lab,lab,MW 11542,Eleutherodactylus_johnstonei,Eleutherodactylus_johnstonei,,exact
Eleutherodactylus_marnockii_MKF923_lab,lab,MKF 0923,Eleutherodactylus_marnockii,Eleutherodactylus_marnockii,,exact
Epipedobates_tricolor_JWS883_field,field,JWS 883,Epipedobates_tricolor,Epipedobates_tricolor,,exact
Epipedobates_tricolor_JWS883_lab,lab,JWS 883,Epipedobates_tricolor,Epipedobates_tricolor,,exact
Haddadus_binotatus_CFBH44052_lab,lab,CFBH 44052,Haddadus_binotatus,Haddadus_binotatus,,exact
Hemisus_marmoratus_JWS886_field,field,JWS 886,Hemisus_marmoratus,Hemisus_marmoratus,,exact
Hemisus_marmoratus_JWS886_lab,lab,JWS 886,Hemisus_marmoratus,Hemisus_marmoratus,,exact
