Order,Family,Subfamily,Genus,species,Data_label,DNA_verified?,Stage,N_lens,N_specimens,Mean_size_mm,Filter_category
Anura,Leptodactylidae,Leptodactylinae,Adenomera,sp,Adenomera_sp_MW11574_lab,no,adult,1,1,1,unpigmented
Anura,Hylidae,Cophomantinae,Aplastodiscus,leucopygius,Aplastodiscus_leucopygius_CFBH44039_lab,no,adult,1,1,2.5,pigmented
Anura,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei_MKF929_MKF920_lab,no,adult,3,2,2.75,unpigmented
Anura,Hylidae,Cophomantinae,Boana,bandeirantes,Boana_bandeirantes_CFBH44064_lab,no,adult,1,1,2.5,pigmented
Anura,Hylidae,Cophomantinae,Boana,calcarata,Boana_calcarata_MW11133_lab,no,adult,2,1,2.75,pigmented
Anura,Hylidae,Cophomantinae,Boana,cinerascens,Boana_cinerascens_MW11090_lab,no,adult,2,1,2,pigmented
Anura,Hylidae,Cophomantinae,Boana,diabolica,Boana_diabolica_MW11091_lab,no,adult,2,1,2.75,pigmented
Anura,Hylidae,Cophomantinae,Boana,faber,Boana_faber_CFBH44036_lab,no,adult,1,1,5.5,pigmented
Anura,Hylidae,Cophomantinae,Boana,pardalis,Boana_pardalis_CFBH44040_lab,no,adult,1,1,4.5,pigmented
Anura,Hylidae,Cophomantinae,Boana,punctata,Boana_punctata_MW11268_lab,no,adult,1,1,1.5,unpigmented
Anura,Hylidae,Cophomantinae,Bokermannohyla,circumdata,Bokermannohyla_circumdata_CFBH44047_lab,no,adult,1,1,4,pigmented
Anura,Mantellidae,Boophinae,Boophis,erythrodactylus,Boophis_erythrodactylus_JWS884_lab,no,adult,2,1,3,pigmented
Anura,Brachycephalidae,NA,Brachycephalus,ephippium,Brachycephalus_ephippium_CFBH44059_lab,no,adult,1,1,1,unpigmented
Anura,Bufonidae,NA,Bufo,bufo,Bufo_bufo_BbL1_lab,no,adult,1,1,3.42,unpigmented
Anura,Phyllomedusidae,NA,Callimedusa,tomopterna,Callimedusa_tomopterna_MW11132_lab,no,adult,2,1,2.25,pigmented
Anura,Microhylidae,Microhylinae,Glyphoglossus,guttulatus,Calluella_guttulata_JWS887_lab,no,adult,1,1,2.5,unpigmented
Anura,Ceratobatrachidae,Ceratobatrachinae,Cornufer,guentheri,Ceratobatrachus_guentheri_JWS881_lab,no,adult,1,1,4,unpigmented
Anura,Ceratophryidae,NA,Ceratophrys,cornuta,Ceratophrys_cornuta_MW11322_lab,no,adult,1,1,4.25,unknown
