Order,Family,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019
Anura,Ascaphidae,Ascaphus,truei,Ascaphus_truei,exact
Anura,Brachycephalidae,Brachycephalus,ephippium,Brachycephalus_ephippium,exact
Anura,Brachycephalidae,Ischnocnema,henselii,Ischnocnema_henselii,exact
Anura,Brachycephalidae,Ischnocnema,parva,Ischnocnema_parva,exact
Anura,Bufonidae,Bufo,bufo,Bufo_bufo,exact
Anura,Bufonidae,Rhaebo,guttatus,Rhaebo_guttatus,exact
Anura,Bufonidae,Rhinella,icterica,Rhinella_icterica,exact
Anura,Bufonidae,Rhinella,margaritifera,Rhinella_margaritifera,exact
Anura,Bufonidae,Rhinella,marina,Rhinella_marina,exact
Anura,Bufonidae,Sclerophrys,sp.,Amietophrynus_asmarae,sub
Anura,Centrolenidae,Hyalinobatrachium,cappellei,Hyalinobatrachium_cappellei,exact
Anura,Centrolenidae,Vitreorana,uranoscopa,Vitreorana_uranoscopa,exact
Anura,Ceratobatrachidae,Cornufer,guentheri,Ceratobatrachus_guentheri,exact
Anura,Ceratophryidae,Ceratophrys,cornuta,Ceratophrys_cornuta,exact
Anura,Ceratophryidae,Lepidobatrachus,laevis,Lepidobatrachus_laevis,exact
Anura,Craugastoridae,Haddadus,binotatus,Haddadus_binotatus,exact
Anura,Craugastoridae,Pristimantis,chiastonotus,Pristimantis_chiastonotus,exact
Anura,Craugastoridae,Pristimantis,zeuctotylus,Pristimantis_zeuctotylus,exact
Anura,Dendrobatidae,Epipedobates,tricolor,Epipedobates_tricolor,exact
Anura,Eleutherodactylidae,Eleutherodactylus,johnstonei,Eleutherodactylus_johnstonei,exact
Anura,Eleutherodactylidae,Eleutherodactylus,marnockii,Eleutherodactylus_marnockii,exact
Anura,Hemisotidae,Hemisus,marmoratus,Hemisus_marmoratus,exact
Anura,Hylidae,Andinobates,minutus,Andinobates_minutus,exact
Anura,Hylidae,Aplastodiscus,leucopygius,Aplastodiscus_leucopygius,exact
Anura,Hylidae,Boana,bandeirantes,Hypsiboas_bandeirantes,exact
Anura,Hylidae,Boana,calcarata,Hypsiboas_calcaratus,exact
Anura,Hylidae,Boana,cinerascens,Hypsiboas_cinerascens,exact
Anura,Hylidae,Boana,faber,Hypsiboas_faber,exact
Anura,Hylidae,Boana,pardalis,Hypsiboas_pardalis,exact
Anura,Hylidae,Boana,punctata,Hypsiboas_punctatus,exact
Anura,Hylidae,Bokermannohyla,circumdata,Bokermannohyla_circumdata,exact
Anura,Hylidae,Dendropsophus,leucophyllatus,Dendropsophus_leucophyllatus,exact
Anura,Hylidae,Dendropsophus,minusculus,Dendropsophus_minusculus,exact
Anura,Hylidae,Itapotihyla,langsdorffii,Itapotihyla_langsdorffii,exact
Anura,Hylidae,Ololygon,rizibilis,Scinax_rizibilis,exact
