"","Order","Family","Subfamily","Genus","Species","genus_species","Adult_habitat","Activity_period","Mating_habitat","Life_history","Larval_habitat","Sex_dichromatism"
"15","Anura","Ascaphidae",NA,"Ascaphus","truei","Ascaphus_truei","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent"
"21","Anura","Brachycephalidae",NA,"Brachycephalus","ephippium","Brachycephalus_ephippium","Ground-dwelling","Diurnal","Lentic water","No free-living larvae","No larvae","Absent"
"23","Anura","Brachycephalidae",NA,"Ischnocnema","henselii","Ischnocnema_henselii","Ground-dwelling","Nocturnal","Ground","No free-living larvae","No larvae","Absent"
"24","Anura","Brachycephalidae",NA,"Ischnocnema","parva","Ischnocnema_parva","Subfossorial","Nocturnal","Ground","No free-living larvae","No larvae","Absent"
"37","Anura","Bufonidae",NA,"Bufo","bufo","Bufo_bufo","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"53","Anura","Bufonidae",NA,"Rhaebo","guttatus","Rhaebo_guttatus","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"55","Anura","Bufonidae",NA,"Rhinella","icterica","Rhinella_icterica","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"56","Anura","Bufonidae",NA,"Rhinella","margaritifera","Rhinella_margaritifera","Ground-dwelling","Both","Lentic water","Unknown","Unknown","Unknown"
"57","Anura","Bufonidae",NA,"Rhinella","marina","Rhinella_marina","Ground-dwelling","Nocturnal","Lotic water","Free-living larvae","Lentic water","Present"
"64","Anura","Bufonidae",NA,"Sclerophrys","sp.","Sclerophrys_sp.",NA,"Unknown","Unknown","Unknown","Unknown","Unknown"
"67","Anura","Centrolenidae","Hyalinobatrachinae","Hyalinobatrachium","cappellei","Hyalinobatrachium_cappellei","Scansorial","Nocturnal","Plants","Free-living larvae","Lotic water","Absent"
"70","Anura","Centrolenidae","Centroleninae","Vitreorana","uranoscopa","Vitreorana_uranoscopa","Scansorial","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent"
"71","Anura","Ceratobatrachidae","Ceratobatrachinae","Cornufer","guentheri","Cornufer_guentheri","Subfossorial","Nocturnal","Ground","No free-living larvae","No larvae","Unknown"
"74","Anura","Ceratophryidae",NA,"Ceratophrys","cornuta","Ceratophrys_cornuta","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"76","Anura","Ceratophryidae",NA,"Lepidobatrachus","laevis","Lepidobatrachus_laevis","Semiaquatic","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"81","Anura","Craugastoridae","Craugastorinae","Haddadus","binotatus","Haddadus_binotatus","Ground-dwelling","Nocturnal","Ground","No free-living larvae","No larvae","Absent"
"84","Anura","Craugastoridae","Ceuthomantinae","Pristimantis","chiastonotus","Pristimantis_chiastonotus","Ground-dwelling","Unknown","Unknown","No free-living larvae","No larvae","Unknown"
"86","Anura","Craugastoridae","Ceuthomantinae","Pristimantis","zeuctotylus","Pristimantis_zeuctotylus","Subfossorial","Unknown","Unknown","No free-living larvae","No larvae","Unknown"
"89","Anura","Dendrobatidae","Dendrobatinae","Andinobates","minutus","Andinobates_minutus","Ground-dwelling","Unknown","Ground","Free-living larvae","Lentic water","Unknown"
"91","Anura","Dendrobatidae","Colostethinae","Epipedobates","tricolor","Epipedobates_tricolor","Subfossorial","Diurnal","Ground","Free-living larvae","Lotic water","Absent"
"103","Anura","Eleutherodactylidae","Eleutherodactylinae","Eleutherodactylus","johnstonei","Eleutherodactylus_johnstonei","Scansorial","Nocturnal","Ground","No free-living larvae","On land","Absent"
"104","Anura","Eleutherodactylidae","Eleutherodactylinae","Eleutherodactylus","marnockii","Eleutherodactylus_marnockii","Ground-dwelling","Nocturnal","Ground","No free-living larvae","No larvae","Absent"
"113","Anura","Hemisotidae",NA,"Hemisus","marmoratus","Hemisus_marmoratus","Fossorial","Both","Ground","Free-living larvae","Lentic water","Absent"
"117","Anura","Hylidae","Cophomantinae","Aplastodiscus","leucopygius","Aplastodiscus_leucopygius","Scansorial","Nocturnal","Ground","Free-living larvae","Lotic water","Absent"
"118","Anura","Hylidae","Cophomantinae","Boana","bandeirantes","Boana_bandeirantes","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"119","Anura","Hylidae","Cophomantinae","Boana","calcarata","Boana_calcarata","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"120","Anura","Hylidae","Cophomantinae","Boana","cinerascens","Boana_cinerascens","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"121","Anura","Hylidae","Cophomantinae","Boana","diabolica","Boana_diabolica","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"122","Anura","Hylidae","Cophomantinae","Boana","faber","Boana_faber","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"124","Anura","Hylidae","Cophomantinae","Boana","pardalis","Boana_pardalis","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"125","Anura","Hylidae","Cophomantinae","Boana","punctata","Boana_punctata","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"126","Anura","Hylidae","Cophomantinae","Bokermannohyla","circumdata","Bokermannohyla_circumdata","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"127","Anura","Hylidae","Dendropsophinae","Dendropsophus","leucophyllatus","Dendropsophus_leucophyllatus","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Present"
"128","Anura","Hylidae","Dendropsophinae","Dendropsophus","minusculus","Dendropsophus_minusculus","Scansorial","Nocturnal","Unknown","Free-living larvae","Lentic water","Unknown"
"135","Anura","Hylidae","Lophyohylinae","Itapotihyla","langsdorffii","Itapotihyla_langsdorffii","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present"
"137","Anura","Hylidae","Scinaxinae","Ololygon","rizibilis","Ololygon_rizibilis","Scansorial","Unknown","Unknown","Unknown","Unknown","Unknown"
"138","Anura","Hylidae","Lophyohylinae","Osteocephalus","oophagus","Osteocephalus_oophagus","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"139","Anura","Hylidae","Lophyohylinae","Osteocephalus","taurinus","Osteocephalus_taurinus","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent"
"140","Anura","Hylidae","Lophyohylinae","Osteopilus","septentrionalis","Osteopilus_septentrionalis","Scansorial","Unknown","Lentic water","Free-living larvae","Lentic water","Unknown"
"143","Anura","Hylidae","Scinaxinae","Scinax","boesemani","Scinax_boesemani","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Present"
