Order,Family,Subfamily,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019,Field_number,MSP_name,Life_stage,Sex,Expedition
Anura,Pelodryadidae,Litoriinae,Litoria,dentata,Litoria_dentata,exact,MM 2171,BLEATING TREE FROG,adult,male,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,dentata,Litoria_dentata,exact,MM 2183,BLEATING TREE FROG_TAD,tadpole,unknown,Australia_Jan-2018
Anura,Myobatrachidae,NA,Crinia,signifera,Crinia_signifera,exact,MM 2187,CLICKING FROGLET,sub-adult,unknown,Australia_Jan-2018
Anura,Microhylidae,Asterophryinae,Cophixalus,infacetus,Cophixalus_infacetus,exact,RCB 1007,CREAKING NURSERY FROG,adult,male,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,fallax,Litoria_fallax,exact,MM 2165,DWARF_TREE_FROG,adult,male,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,fallax,Litoria_fallax,exact,MM 2175,DWARF_TREE_FROG_TAD,tadpole,unknown,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,peronii,Litoria_peronii,exact,MM 2167,EMERAL TREE FROG,adult,male,Australia_Jan-2018
Anura,Myobatrachidae,NA,Mixophyes,fasciolatus,Mixophyes_fasciolatus,exact,MM 2170,GREAT BARR FROG-AD,adult,female,Australia_Jan-2018
Anura,Myobatrachidae,NA,Mixophyes,fasciolatus,Mixophyes_fasciolatus,exact,MM 2172,GREAT BARR FROG-TAD/MM2172,tadpole,unknown,Australia_Jan-2018
Anura,Myobatrachidae,NA,Mixophyes,fasciolatus,Mixophyes_fasciolatus,exact,MM 2182,GREAT BARR FROG-TAD/MM2182,tadpole,unknown,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,phyllochroa,Litoria_phyllochroa,exact,MM 2174,LEAF GREEN TREE FROG,adult,male,Australia_Jan-2018
Anura,Microhylidae,Asterophryinae,Cophixalus,ornatus,Cophixalus_ornatus,exact,RCB 1004,NO_ORNATE_NURSERY_FROG,adult,male,Australia_Jan-2018
Anura,Myobatrachidae,NA,Pseudophryne,coriacea,Pseudophryne_coriacea,exact,MM 2176,RED BACKED BROODFROG,adult,male,Australia_Jan-2018
Anura,Microhylidae,Asterophryinae,Austrochaperina,robusta,Austrochaperina_robusta,exact,RCB 1009,ROBUST WHISTLING FROG,adult,female,Australia_Jan-2018
Anura,Pelodryadidae,Pelodryadinae,Ranoidea,chloris,Litoria_chloris,exact,MM 2173,SO. ORANGE EYED TREE FROG,adult,male,Australia_Jan-2018
Anura,Pelodryadidae,Pelodryadinae,Ranoidea,chloris,Litoria_chloris,exact,MM 2185,SO. ORANGE EYED TREE FROG_TAD,tadpole,unknown,Australia_Jan-2018
Anura,Microhylidae,Asterophryinae,Cophixalus,australis,Cophixalus_australis,exact,RCB 1005,SO.ORNATE NURSERY FROG,adult,male,Australia_Jan-2018
Anura,Limnodynastidae,NA,Limnodynastes,tasmaniensis,Limnodynastes_tasmaniensis,exact,MM 2166,SPOTTED MARSH FROG,adult,female,Australia_Jan-2018
Anura,Pelodryadidae,Litoriinae,Litoria,wilcoxii,Litoria_wilcoxii,exact,MM 2164,STONEY CREEK FROG,adult,male,Australia_Jan-2018
Anura,Limnodynastidae,NA,Limnodynastes,peronii,Limnodynastes_peronii,exact,MM 2178,STRIPED MARSH FROG,adult,male,Australia_Jan-2018
Anura,Limnodynastidae,NA,Adelotus,brevis,Adelotus_brevis,exact,MM 2180,TUSKED FROG,adult,male,Australia_Jan-2018
Anura,Hylidae,Scinaxinae ,Scinax,perpusillus,Scinax_perpusillus,exact,CFBH 44058,BANDEIRANTES SNOUTED T.F. TAD,tadpole,unknown,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,perpusillus,Scinax_perpusillus,exact,CFBH 44049,BANDEIRANTES SNOUTED TREEFROG,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Boana,faber,Hypsiboas_faber,exact,CFBH 44036,BLACKSMITH TREEFROG ADULT,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Boana,sp. (cf. faber),Hypsiboas_faber,sub,CFBH 44033,BLACKSMITH TREEFROG TAD,tadpole,unknown,Brazil_2018
Anura,Odontophrynidae,NA,Proceratophrys,boiei,Proceratophrys_boiei,exact,CFBH 44053,BOIES HORNED FROG,sub-adult,unknown,Brazil_2018
Anura,Phyllomedusidae,NA,Phasmahyla,cochranae,Phasmahyla_cochranae,exact,CFBH 44069,CHOCOLATE-FOOTED LEAF FROG-TAD,tadpole,unknown,Brazil_2018
Anura,Craugastoridae,Craugastorinae,Haddadus,binotatus,Haddadus_binotatus,exact,CFBH 44052,CLAYROBBER FROG,sub-adult,unknown,Brazil_2018
Anura,Bufonidae,NA,Rhinella,icterica,Rhinella_icterica,exact,CFBH 44065,CURURU YELLOW TOAD,adult,male,Brazil_2018
Anura,Leptodactylidae,Leiuperinae ,Physalaemus,cuvieri,Physalaemus_cuvieri,exact,CFBH 44041,CUVIER'S FOAM-FROGLET,adult,male,Brazil_2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,fuscus,Leptodactylus_fuscus,exact,CFBH 44062,FUSCOUS FOAM FROG,adult,unknown,Brazil_2018
Anura,Brachycephalidae ,NA,Ischnocnema,parva,Ischnocnema_parva,exact,CFBH 44054,GIRARD'S ROBBER FROG,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Aplastodiscus,leucopygius,Aplastodiscus_leucopygius,exact,CFBH 44039,GUINLE TREEFROG,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,hayii,Scinax_hayii,exact,CFBH 44046,HAY'S SNOUTED TREEFROG,adult,male,Brazil_2018
Anura,Brachycephalidae ,NA,Ischnocnema,henselii,Ischnocnema_henselii,exact,CFBH 44063,HENSEL'S ROBBER FROG,adult,male,Brazil_2018
Anura,Centrolenidae,Centroleninae,Vitreorana,uranoscopa,Vitreorana_uranoscopa,exact,CFBH 44038,HUMBOLDT'S GLASS FROG,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Boana,pardalis,Hypsiboas_pardalis,exact,CFBH 44040,LEOPARD TREEFROG,adult,male,Brazil_2018
Anura,Hylidae,Lophyohylinae,Itapotihyla,langsdorffii,Itapotihyla_langsdorffii,exact,CFBH 44045,OCELLATED TREEFROG,adult,male,Brazil_2018
Anura,Brachycephalidae ,NA,Brachycephalus,pitanga,Brachycephalus_pitanga,exact,CFBH 44042,PITANGA PUMPKIN TOADLET,adult,male,Brazil_2018
Anura,Phyllomedusidae,NA,Phyllomedusa,distincta,Phyllomedusa_distincta,exact,CFBH 44055,SAO PAULO LEAF FROG,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. C (cf. rizibilis),Scinax_rizibilis,sub,CFBH 44068,SNOUTED TREEFROG C-AD,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. A,Scinax_peixotoi,sub,CFBH 44066,SNOUTED TREEFROG TAD A,tadpole,unknown,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. B,Scinax_ranki,sub,CFBH 44067,SNOUTED TREEFROG TAD B,tadpole,unknown,Brazil_2018
Anura,Brachycephalidae ,NA,Brachycephalus,ephippium,Brachycephalus_ephippium,exact,CFBH 44059,SPIX'S SADDLEBACK TOAD,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Bokermannohyla,circumdata,Bokermannohyla_circumdata,exact,CFBH 44047,THIGH BARRED TREEFROG,adult,male,Brazil_2018
Anura,Hylodidae,NA,Hylodes,phyllodes,Hylodes_phyllodes,exact,CFBH 44037,TORRENT FROG,adult,male,Brazil_2018
Caudata,Salamandridae,Pleurodelinae,Notopthalmus,viridescens,Notophthalmus_viridescens,exact,RCB1462,EASTERN NEWT EFT,sub-adult,,Cornell_Jun-2019
Anura,Hyperoliidae,NA,Hyperolius,riggenbachi,Hyperolius_riggenbachi,exact,RCB1464,RIGGENBACH REED FROG FEMALE,adult,female,Cornell_Jun-2019
Anura,Hyperoliidae,NA,Hyperolius,riggenbachi,Hyperolius_riggenbachi,exact,RCB1465,RIGGENBACH REED FROG MALE,adult,male,Cornell_Jun-2019
