Order,Family,genus_species,Adult_habitat,Activity_period,Sex_dichromatism,AH_source,AP_source,SD_source
Anura,Hylidae,Acris_blanchardi,Semiaquatic,Diurnal,Absent,Crawford et al. (2017),Crawford et al. (2017),Bell et al. (2017)
Anura,Dendrobatidae,Adelphobates_castaneoticus,Ground-dwelling,Diurnal,Absent,Caldwell and Myers (1990),Caldwell and Myers (1990),Bell et al. (2017)
Anura,Leptodactylidae,Adenomera_andreae,Ground-dwelling,Both,Absent,AmphibiaWeb (2019),AmphibiaWeb (2019),CFBH pers. obs.
Anura,Phyllomedusidae,Agalychnis_callidryas,Scansorial,Nocturnal,Absent,AmphibiaWeb (2019),AmphibiaWeb (2019),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Aromobatidae,Allobates_femoralis,Ground-dwelling,Diurnal,Absent,AmphibiaWeb (2019),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Alytidae,Alytes_cisternasii,Fossorial,Nocturnal,Absent,AmphibiaWeb (2020),Marquez and Verrell (1991),Bell et al. (2017)
Anura,Alytidae,Alytes_muletensis,Ground-dwelling,Nocturnal,Absent,Tonge and Boxam (1989),AmphibiaWeb (2020),Bell et al. (2017)
Caudata,Ambystomatidae,Ambystoma_mexicanum,Aquatic,Both,Absent,AmphibiaWeb (2019),Meyers et al. (2019); Ayala et al. (2019),AmphibiaWeb (2020)
Anura,Hylidae,Aplastodiscus_leucopygius,Scansorial,Nocturnal,Absent,Haddad et al. (2013),Haddad et al. (2013),CFBH unpublished data; Bell et al. (2017)
Anura,Ascaphidae,Ascaphus_truei,Semiaquatic,Nocturnal,Absent,Adams and Frissell (2001); Adams and Pearl (2005),Anderson and Wiens (2017); Adams and Pearl (2005),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Bufonidae,Atelopus_varius,Ground-dwelling,Diurnal,Present,AmphibiaWeb (2020),AmphibiaWeb (2020),Bell et al. (2012)
Caudata,Plethodontidae,Batrachoseps_attenuatus,Subfossorial,Both,Absent,AmphibiaWeb (2020),RCB pers. obs. ,RCB pers. obs.
Anura,Hylidae,Boana_polytaenia,Scansorial,Nocturnal,Absent,CFBH umpublished data,CFBH unpublished data,CFBH unpublished data
Anura,Hylidae,Boana_calcarata,Scansorial,Nocturnal,Present,pers. obs.,pers. obs.,Caminar and Ron (2014); Bell et al. (2017)
Anura,Hylidae,Boana_cinerascens,Scansorial,Nocturnal,Absent,AmphibiaWeb (2020),pers. obs.,Kok and Kalamandeen (2008); Bell et al. (2017)
Anura,Hylidae,Boana_diabolica,Scansorial,Nocturnal,Absent,pers. obs.,pers. obs.,Fouquet et al. 2016
Anura,Hylidae,Boana_faber,Scansorial,Nocturnal,Present,Haddad et al. (2013),Haddad et al. (2013),Bell et al. (2017)
Anura,Hylidae,Boana_geographica,Scansorial,Nocturnal,Present,AmphibiaWeb (2020),AmphibiaWeb (2020),Bell et al. (2017)
