order,family,species,dataset,scanned,t450nm,t50,pUVA
Anura,Bufonidae,Bufo_bufo,Yovanovich et al. (2019),fresh lens,0.92,360,44.15
Anura,Bufonidae,Rhinella_ornata,Yovanovich et al. (2019),fresh lens,0.93,344,54.88
Anura,Ranidae,Lithobates_catesbeianus,Yovanovich et al. (2019),fresh lens,0.85,400,9.54
Anura,Ranidae,Lithobates_pipiens,Yovanovich et al. (2019),inferred from Kennedy and Milkman (1956),1,380,NA
Anura,Ranidae,Rana_temporaria,Yovanovich et al. (2019),fresh lens,0.95,404,5.94
Anura,Aromobatidae,Allobates_femoralis,Yovanovich et al. (2020),fresh lens,0.84,423,NA
Anura,Bombinatoridae,Bombina_orientalis,Yovanovich et al. (2020),fresh lens,0.91,<300,95.55
Anura,Brachycephalidae,Brachycephalus_ephippium,Yovanovich et al. (2020),fresh lens,0.85,339,NA
Anura,Brachycephalidae,Ischnocnema_parva,Yovanovich et al. (2020),fresh lens,0.81,324,61.96
Anura,Bufonidae,Atelopus_varius,Yovanovich et al. (2020),fresh lens,0.93,331,75.30
Anura,Bufonidae,Rhinella_icterica,Yovanovich et al. (2020),fresh lens,0.73,361,46.24
Anura,Centrolenidae,Cochranella_granulosa,Yovanovich et al. (2020),fresh lens,0.96,380,29.43
Anura,Centrolenidae,Teratohyla_spinosa,Yovanovich et al. (2020),fresh lens,0.95,379,31.20
Anura,Craugastoridae,Craugastor_fitzingeri,Yovanovich et al. (2020),fresh lens,0.93,360,55.30
Anura,Cycloramphidae,Thoropa_taophora,Yovanovich et al. (2020),fresh lens,0.94,343,60.79
Anura,Dendrobatidae,Adelphobates_castaneoticus,Yovanovich et al. (2020),fresh lens,0.87,416,NA
Anura,Dendrobatidae,Dendrobates_auratus,Yovanovich et al. (2020),fresh lens,0.80,421,11.94
Anura,Dendrobatidae,Oophaga_pumilio,Yovanovich et al. (2020),fresh lens,0.81,425,6.88
Anura,Hylidae,Boana_geographica,Yovanovich et al. (2020),fresh lens,0.96,393,NA
Anura,Hylidae,Boana_rosenbergi,Yovanovich et al. (2020),fresh lens,0.92,399,7.54
Anura,Hylidae,Bokermannohyla_astartea,Yovanovich et al. (2020),fresh lens,0.92,392,NA
Anura,Hylidae,Bokermannohyla_hylax,Yovanovich et al. (2020),fresh lens,0.83,395,NA
Anura,Hylidae,Dendropsophus_ebraccatus,Yovanovich et al. (2020),fresh lens,0.88,394,15.70
Anura,Hylidae,Dendropsophus_microcephalus,Yovanovich et al. (2020),fresh lens,0.98,391,17.34
Anura,Hylidae,Scinax_ruber,Yovanovich et al. (2020),fresh lens,0.86,397,10.38
Anura,Hylidae,Xenohyla_truncata,Yovanovich et al. (2020),fresh lens,0.90,388,NA
Anura,Hylodidae,Hylodes_asper,Yovanovich et al. (2020),fresh lens,0.99,411,NA
Anura,Hylodidae,Hylodes_phyllodes,Yovanovich et al. (2020),fresh lens,0.87,418,9.31
Anura,Hylodidae,Hylodes_pipilans,Yovanovich et al. (2020),fresh lens,0.81,415,NA
Anura,Leptodactylidae,Engystomops_pustulosus,Yovanovich et al. (2020),fresh lens,0.96,324,81.43
Anura,Leptodactylidae,Leptodactylus_fragilis,Yovanovich et al. (2020),fresh lens,0.93,372,36.06
Anura,Leptodactylidae,Leptodactylus_insularum,Yovanovich et al. (2020),fresh lens,0.92,380,25.78
Anura,Leptodactylidae,Leptodactylus_tapiti,Yovanovich et al. (2020),fresh lens,0.82,376,NA
Anura,Leptodactylidae,Physalaemus_cuvieri,Yovanovich et al. (2020),fresh lens,0.85,390,17.07
Anura,Microhylidae,Elachistocleis_panamensis,Yovanovich et al. (2020),fresh lens,0.94,319,84.54
Anura,Phyllomedusidae,Agalychnis_callidryas,Yovanovich et al. (2020),fresh lens,0.96,385,27.78
Anura,Phyllomedusidae,Pithecopus_hypochondrialis,Yovanovich et al. (2020),fresh lens,0.88,382,NA
