order,family,species,stage,n_lenses,n_specimens,diam_mm,approx_size,t450nm,t50,pUVA,pigment
Anura,Hylidae,Acris blanchardi,adult,5,4,1.5,1.5,89.6,394,13.3,H
Anura,Leptodactylidae,Adenomera andreae,adult,1,1,1,1,86.8,337,63.4,N
Anura,Alytidae,Alytes cisternasii,adult,2,1,1.5,1.5,76,380,37.1,N
Anura,Alytidae,Alytes muletensis,tadpole,2,1,1,1,84.4,336,59.3,N
Anura,Alytidae,Alytes muletensis,adult,2,1,1,1,77.8,351,51.5,N
Caudata,Ambystomatidae,Ambystoma mexicanum,adult,1,1,1.6,1.6,99.4,318,73.4,N
Anura,Hylidae,Aplastodiscus leucopygius,adult,1,1,2.5,2.5,89.5,385,30.5,I
Anura,Ascaphidae,Ascaphus truei,adult,3,2,2.5-3.0,2.75,91,349,57.5,N
Caudata,Plethodontidae,Batrachoseps attenuatus,adult,3,2,1,1,73.3,360,34.4,I?
Anura,Hylidae,Boana polytaenia,adult,1,1,2.5,2.5,91.6,365,51.5,I
Anura,Hylidae,Boana calcarata,adult,1,1,3,3,77,398,18.5,I
Anura,Hylidae,Boana cinerascens,adult,2,1,2,2,80.1,389,21.8,I
Anura,Hylidae,Boana diabolica,adult,2,1,2.5-3.0,2.75,70,396,20.9,I
Anura,Hylidae,Boana faber,adult,1,1,5.5,5.5,82.3,399,6.1,H
Anura,Hylidae,Boana pardalis,adult,1,1,4.5,4.5,89.4,387,25.2,I
Anura,Hylidae,Boana punctata,adult,1,1,1.5,1.5,80.7,379,37.8,N?
Anura,Hylidae,Bokermannohyla circumdata,adult,1,1,4,4,89.9,389,20.9,I
Anura,Mantellidae,Boophis erythrodactylus,adult,2,1,3,3,80.6,396,12.9,I/H
Anura,Brachycephalidae,Brachycephalus ephippium,adult,1,1,1,1,91.7,356,48.6,N
Anura,Bufonidae,Bufo bufo,adult,1,1,3.0-3.5,3.25,98,341,66.8,N
Anura,Microhylidae,Chiasmocleis shudikarensis,adult,2,2,1,1,83.3,341,58.2,N
Anura,Ceratobatrachidae,Cornufer guentheri,adult,1,1,4,4,90.5,358,52.8,N
Caudata,Salamandridae,Cynops pyrrhogaster,adult,2,1,0.8-0.9,0.85,97.2,318,74,N
Anura,Dendrobatidae,Dendrobates leucomelas,adult,2,1,1,1,89.1,326,54.8,I
Anura,Hylidae,Dendropsophus leucophyllatus,adult,5,4,1.5-3.0,2.25,75.4,384,33.7,I
Anura,Hylidae,Dendropsophus minusculus,adult,2,1,1.5-2.0,1.75,69.9,402,17.7,I
Anura,Hylidae,Dendropsophus minutus,tadpole,2,1,1,1,74,359,48.2,N
Anura,Alytidae,Discoglossus galganoi,adult,2,1,2,2,92,346,59.6,N
Anura,Microhylidae,Dyscophus guineti,adult,1,1,2,2,93.4,331,69.9,N
Anura,Eleutherodactylidae,Eleutherodactylus marnockii,adult,1,1,2,2,76,355,49.3,N
Anura,Dendrobatidae,Epipedobates tricolor,adult,1,1,1,1,79.8,413,23.1,I
Anura,Microhylidae,Gastrophryne olivacea,adult,1,1,1,1,76.2,349,49.4,N
Anura,Microhylidae,Glyphoglossus guttulatus,adult,1,1,2.5,2.5,91.1,337,64.3,N
Anura,Craugastoridae,Haddadus binotatus,adult,1,1,1.5,1.5,98.3,327,73.7,N
Anura,Hemisotidae,Hemisus marmoratus,adult,1,1,1.5,1.5,84.9,345,57.3,N
